X,Y,osm_id,amenity,healthcare,name,operator,source,speciality,operator_t,contact_nu,operationa,opening_ho,beds,staff_doct,staff_nurs,health_ame,dispensing,wheelchair,emergency,insurance,water_sour,electricit,is_in_heal,is_in_heal2,url,addr_house,addr_stree,addr_postc,addr_city,changeset_,changeset_2,changeset_3,changeset_4,location
19.1301524363271,43.1524270926207,6877263551,pharmacy,pharmacy,,,,,,,,,,,,,yes,,,,,,,,,,,,,75646272,1,2019-10-14 07:33:21+00:00,Durmitology,"Aroma, M-6, Pendrek do, Žabljak, Opština Žabljak, 84220, Crna Gora / Црна Гора"
18.6986481214601,42.5144384487496,776854538,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,18026391,2,2013-09-25 11:47:01+00:00,Слоняка,"Ju vaso cukovic risan, Pjescina N.N., Risan, Opština Kotor, 85337, Crna Gora / Црна Гора"
18.8604937869233,42.2835260687747,7005144196,dentist,dentist,,,,,,,,,,,,,,,,,,,,,,,,,,77541979,2,2019-11-25 20:12:58+00:00,Badojo,"Jadranski put, Boreti, Opština Budva, 33000, Crna Gora / Црна Гора"
19.1208004954993,43.1546801481937,783104359,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,110197105,6,2021-08-24 23:10:58+00:00,dizajnmario,"Prva banka, Vuka Karadžića, Pendrek do, Žabljak, Opština Žabljak, 84220, Crna Gora / Црна Гора"
18.9451415374252,42.7783256549043,7273775798,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,106839656,2,2021-06-23 12:50:09+00:00,Linfindel,"Remedia, Dr Nika Miljanića, Nikšić, Opština Nikšić, 81400, Crna Gora / Црна Гора"
18.9453646636877,42.7775147895913,7276271886,doctors,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,106839656,3,2021-06-23 12:50:09+00:00,Linfindel,"Opšta bolnica Nikšić, Peka Pavlovića, Nikšić, Opština Nikšić, 81400, Crna Gora / Црна Гора"
18.6966702437683,42.4311959243147,7359837827,pharmacy,pharmacy,Bosiljak,,,,,,,,,,,,yes,,,,,,,,,,,,,82996239,1,2020-04-02 18:48:52+00:00,Branislav Počanić,"Bosiljak, Trg kulture, Tivat, Opština Tivat, 82000, Crna Gora / Црна Гора"
19.2636862959841,42.4354794959316,7617551185,doctors,doctor,Oftalens,,,,,,,,,,,,,,,,,,,,,,Bratstva i Jedinstva,,,106287192,4,2021-06-13 15:17:06+00:00,Linfindel,"Oftalens, Bratstva i Jedinstva, Drač, Podgorica, Glavni grad Podgorica, 81108, Crna Gora / Црна Гора"
19.2358915697845,42.4506768922136,7619791105,pharmacy,pharmacy,Apoteka Zdravlje,,,,,,,,,,,,yes,,,,,,,,,,Sava Čelebića,,,86625078,1,2020-06-14 13:41:54+00:00,SMNE,"Apoteka Zdravlje, Sava Čelebića, Podgorica, Glavni grad Podgorica, 81103, Crna Gora / Црна Гора"
19.2636928338685,42.4363160936873,7633139185,doctors,doctor,Kardio Lab,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-16:00,,,,,,,,,,,,,,,,,,106287192,4,2021-06-13 15:17:06+00:00,Linfindel,"Krstarica, 6, Bratstva i Jedinstva, Drač, Podgorica, Glavni grad Podgorica, 81108, Crna Gora / Црна Гора"
18.6948852336684,42.4390622566241,8007311285,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,92485187,1,2020-10-14 17:06:07+00:00,Sergey Krupenin,"Apoteka Latkovich, Peraška, Seljanovo, Tivat, Opština Tivat, 82000, Crna Gora / Црна Гора"
19.2684838459035,42.4402211385568,308968505,hospital,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,106287192,7,2021-06-13 15:17:06+00:00,Linfindel,"Dom zdravlja, IV Proleterske brigade, Drač, Podgorica, Glavni grad Podgorica, 20000, Crna Gora / Црна Гора"
19.2626087185121,42.4456311541412,308978434,hospital,hospital,Hitna pomoć,,,,,,,,,,,,,,,,,,,,,,Vaka Đurovića,,,106287192,5,2021-06-13 15:17:06+00:00,Linfindel,"Fond za zdravstveno osiguranje, Vaka Đurovića, Podgorica, Glavni grad Podgorica, 81110, Crna Gora / Црна Гора"
19.281902518513,42.4371349218083,309274533,hospital,hospital,Dom zdravlja Konik,,,,,,,,,,,,,,,,,,,,,,Aleksandra Puškina,,,71953103,6,2019-07-06 07:50:12+00:00,Pedja,"Dom zdravlja Konik, Aleksandra Puškina, Konik, Podgorica, Glavni grad Podgorica, 20000, Crna Gora / Црна Гора"
19.0960706960143,42.0981924666006,1093735838,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,126397590,3,2022-09-19 21:22:43+00:00,L29Ah,"Erste Banka, ulica Vladimira Rolovića, Topolica, Bar, Opština Bar, 85354, Crna Gora / Црна Гора"
19.2585180983063,42.4309281225084,309710011,hospital,hospital,Dom zdravlja Pobrežje,,,,,,,,,,,,,,,,,,,,,,,,,106287192,3,2021-06-13 15:17:06+00:00,Linfindel,"Dom zdravlja Pobrežje, Bracana Bracanovića, Pobrežje, Podgorica, Glavni grad Podgorica, 81108, Crna Gora / Црна Гора"
19.2433932893058,42.4462194799249,310439507,hospital,hospital,Dom zdravlja Blok 5,,,,,,,,,,,,,,,,,,,,,6,Trg Nikole Kovačevića,81000.0,Podgorica,106196851,4,2021-06-11 07:31:00+00:00,BorisBROS,"Dom zdravlja Blok 5, 6, Trg Nikole Kovačevića, Podgorica, Glavni grad Podgorica, 81000, Crna Gora / Црна Гора"
18.6961191336346,42.4307248613564,8594889517,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,103540005,2,2021-04-24 14:45:09+00:00,b-jazz-bot,"Moj Lab, Trg kulture, Tivat, Opština Tivat, 82000, Crna Gora / Црна Гора"
18.7698754391529,42.4344054388589,8596162417,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,103540202,2,2021-04-24 14:48:13+00:00,b-jazz-bot,"Moj Lab, M-1, Plagente, Dobrota, Opština Kotor, 85330, Crna Gora / Црна Гора"
18.5592126475977,42.4549889623011,8596174817,clinic,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,106658657,3,2021-06-20 09:37:44+00:00,TheEdgeOfRage,"Moj Lab, Narodnog fronta, Meljine, Opština Herceg Novi, 85348, Crna Gora / Црна Гора"
19.2474090591163,42.4474411423124,8926818681,clinic,clinic,Moj Lab,,,,,,,Mo-Su 08:00-20:00,,,,,,,,,,,,,,30,Dalmatinska,81000.0,Podgorica,108141078,2,2021-07-16 21:24:41+00:00,SMNE,"Moj Lab, 30, Dalmatinska, Podgorica, Glavni grad Podgorica, 81000, Crna Gora / Црна Гора"
19.3589987609888,43.3554301657797,8993686198,pharmacy,pharmacy,Prima,,,,,,,,,,,,,,,,,,,,,,,,,109419868,1,2021-08-09 16:52:30+00:00,CRCulver,"Prima, Kralja Petra I, Pljevlja, Opština Pljevlja, 84210, Crna Gora / Црна Гора"
19.3563135344881,43.3571017687296,8993686201,pharmacy,pharmacy,Heba,,,,,,,,,,,,,,,,,,,,,,,,,109419868,1,2021-08-09 16:52:30+00:00,CRCulver,"Heba, Kralja Petra I, Pljevlja, Opština Pljevlja, 84210, Crna Gora / Црна Гора"
